City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
232,swakopmund,-22.6833,14.5333,15.47,75,68,1.62,NA,1714269165
233,valparaiso,-33.0393,-71.6273,15.8,47,0,1.54,CL,1714269136
234,vodnyy,63.5046,53.4095,1.34,92,100,3.55,RU,1714268926
235,port-vila,-17.7338,168.3219,27.78,78,75,6.69,VU,1714269165
236,patan,27.6667,85.3333,20.21,60,20,1.03,NP,1714269165
237,malanje,-9.5402,16.341,15.32,77,8,1.61,AO,1714269165
238,idrinskoye,54.3708,92.1358,4.97,69,100,2.12,RU,1714268962
239,mushie,-3.0167,16.9,23.13,85,64,0.71,CD,1714269166
240,beboto,8.2668,16.939,28.07,50,46,3.16,TD,1714269166
241,changnyeong,35.5415,128.4951,23.67,53,0,0.51,KR,1714269166
242,kapa'a,22.0752,-159.319,26.18,76,0,6.17,US,1714269166
243,maceio,-9.6658,-35.7353,26.69,83,20,2.06,BR,1714269102
244,koryazhma,61.3143,47.1691,7.73,92,100,4.14,RU,1714269166
245,anamosa,42.1083,-91.2852,17.99,45,100,6.69,US,1714269166
246,mianke mor,31.2,73.95,24.12,47,93,2.67,PK,1714269166
247,punta cana,18.5818,-68.4043,26.87,74,40,3.6,DO,1714268961
248,teknaf,20.8624,92.3058,30.11,74,26,1.49,BD,1714269166
249,cehegin,38.0924,-1.7985,11.38,61,57,0.92,ES,1714269166
250,toliara,-23.35,43.6667,20.37,89,9,6.05,MG,1714269166
251,wailua homesteads,22.0669,-159.378,25.44,76,0,6.17,US,1714269166
252,selfoss,63.9331,-20.9971,2.25,68,12,3.97,IS,1714269166
253,aldinga beach,-35.2793,138.4604,22.37,52,6,5.65,AU,1714269166
254,gakem,6.7658,8.9881,26.93,82,88,5.03,NG,1714269166
255,kamloops,50.6665,-120.3192,14.55,48,100,3.58,CA,1714269050
256,cleckheaton,53.724,-1.7129,6.64,91,0,3.6,GB,1714269166
257,keflavik,64.0049,-22.5624,2.95,80,20,3.09,IS,1714269166
258,zhytomyr,50.2649,28.6767,7.84,81,21,2.3,UA,1714269167
259,shenjiamen,29.9576,122.298,17.2,100,100,4.24,CN,1714269167
260,dordrecht,51.81,4.6736,13.88,78,100,1.79,NL,1714269160
261,yarmouth,41.7057,-70.2286,9.44,53,0,6.17,US,1714269167
262,yuzhno-kurilsk,44.0306,145.8556,7.99,96,100,6.76,RU,1714269167
263,acarau,-2.8856,-40.12,24.6,88,100,5.47,BR,1714269167
264,ironwood,46.4547,-90.171,8.19,93,100,2.57,US,1714269167
265,chu,43.5983,73.7614,5.7,83,99,2.78,KZ,1714269167
266,vychegodskiy,61.247,46.8984,7.79,94,100,4.37,RU,1714269167
267,aitape,-3.1374,142.3475,30.79,68,68,3.21,PG,1714269167
268,kudahuvadhoo,2.6708,72.8944,29.67,76,100,7.44,MV,1714269167
269,tiznit,29.5833,-9.5,12.63,84,61,4.15,MA,1714269167
270,brookings,44.3114,-96.7984,9.54,89,100,4.63,US,1714269094
271,khanbari,27.3747,87.2039,28.19,25,0,0.77,NP,1714269167
272,copiapo,-27.3667,-70.3333,11.83,52,5,0.59,CL,1714269167
273,happy valley-goose bay,53.3168,-60.3315,7.17,42,75,4.63,CA,1714269167
274,isafjordur,66.0755,-23.124,1.64,81,92,2.58,IS,1714269167
275,sault ste. marie,46.5168,-84.3333,16.16,74,0,4.12,CA,1714268878
276,brodnica,53.2597,19.3965,8.76,78,9,3.5,PL,1714269168
277,puerto santa,-8.9906,-78.6456,20.05,86,79,3.65,PE,1714269168
278,rechytsa,52.3617,30.3916,9.06,67,100,2.04,BY,1714269168
279,ciudad lazaro cardenas,17.9583,-102.2,24.56,81,1,1.3,MX,1714269168
280,the pas,53.8251,-101.2541,4.01,33,0,2.06,CA,1714269168
281,callao,-12.0667,-77.15,24.29,78,0,5.66,PE,1714268959
282,sinabang,2.4803,96.3801,26.14,92,100,2.49,ID,1714269168
283,chernyshevskiy,63.0128,112.4714,-4.48,76,100,2.3,RU,1714269168
284,sakaraha,-22.9,44.5333,17.25,93,52,3.48,MG,1714269168
285,quatre cocos,-20.2078,57.7625,23.94,85,100,3.19,MU,1714269168
286,kimbe,-5.5502,150.1429,31.85,63,100,1.27,PG,1714269168
287,vila velha,-20.3297,-40.2925,22.19,94,0,1.03,BR,1714269168
288,constitucion,-35.3333,-72.4167,9.33,82,8,3.7,CL,1714269168
289,ta'izz,13.5,44.0,20.52,68,20,3.35,YE,1714269168
290,howrah,22.5892,88.3103,32.0,70,0,3.09,IN,1714269168
291,queenstown,-31.8976,26.8753,13.62,71,100,1.75,ZA,1714269168
292,itacare,-14.2775,-38.9967,24.06,89,30,4.22,BR,1714269168
293,tsaratanana,-16.7833,47.65,21.26,84,82,2.71,MG,1714269169
294,wenchang,30.904,118.4887,23.09,81,100,1.4,CN,1714269169
295,kapuskasing,49.4169,-82.4331,11.05,100,100,2.06,CA,1714269169
296,alofi,-19.0595,-169.9187,29.94,66,20,7.72,NU,1714269014
297,eirunepe,-6.6603,-69.8736,23.73,98,74,0.86,BR,1714268903
298,choibalsan,48.0667,114.5,6.8,29,6,2.43,MN,1714269169
299,al kharijah,25.4514,30.5464,19.37,26,0,3.73,EG,1714269169
300,egilsstadir,65.2653,-14.3948,1.95,100,100,3.6,IS,1714269169
301,port hedland,-20.3167,118.5667,32.03,25,0,6.17,AU,1714269169
302,uvarovo,51.9849,42.2615,13.42,85,100,3.58,RU,1714269169
303,richards bay,-28.783,32.0377,17.42,76,7,1.3,ZA,1714269169
304,bardai,11.65,7.2333,27.89,48,33,2.01,NG,1714269169
305,kiunga,-6.1219,141.2906,32.38,59,92,1.42,PG,1714269169
306,nahiyat ash shinafiyah,31.5874,44.6602,28.19,22,57,3.04,IQ,1714269169
307,alice springs,-23.7,133.8833,19.75,28,0,3.6,AU,1714269169
308,qaqortoq,60.7167,-46.0333,-1.97,97,91,0.45,GL,1714269169
309,kristinestad,62.2743,21.376,1.17,99,100,2.94,FI,1714269170
310,chinchilla,-26.75,150.6333,23.9,63,11,2.68,AU,1714269170
311,san patricio,28.017,-97.5169,26.2,84,40,8.92,US,1714269170
312,new norfolk,-42.7826,147.0587,17.73,52,97,1.67,AU,1714269170
313,buenaventura,3.8801,-77.0312,24.3,95,100,0.93,CO,1714269001
314,prince rupert,54.3161,-130.3201,9.05,80,100,14.92,CA,1714269170
315,saint-philippe,-21.3585,55.7679,24.77,80,94,0.19,RE,1714269170
316,camden,39.7835,-74.9663,12.05,74,100,0.45,US,1714269137
317,sal rei,16.1833,-22.9167,22.1,83,52,6.97,CV,1714269170
318,bergerac,44.8333,0.5,9.37,87,75,2.57,FR,1714269170
319,babu,24.4167,111.5167,29.42,76,2,2.18,CN,1714269170
320,katsuura,35.1333,140.3,20.92,73,0,2.44,JP,1714269170
321,kermit,31.8576,-103.0927,23.91,13,75,11.83,US,1714269170
322,nili,33.7218,66.1302,4.06,72,70,2.19,AF,1714269170
323,moranbah,-22.0016,148.0466,27.07,40,0,9.24,AU,1714269170
324,at taj,24.2049,23.2857,20.64,20,3,4.33,LY,1714269170
325,forestville,38.8451,-76.875,14.55,83,40,3.09,US,1714269170
326,greenville,35.6127,-77.3663,17.02,90,0,2.57,US,1714268931
327,acapulco de juarez,16.8634,-99.8901,23.55,77,5,0.73,MX,1714269171
328,marsh harbour,26.5412,-77.0636,22.45,66,11,10.81,BS,1714269171
329,atar,20.5169,-13.0499,23.79,58,100,1.69,MR,1714269171
330,brisas de zicatela,15.8369,-97.0419,27.39,80,3,2.65,MX,1714269171
331,kununurra,-15.7667,128.7333,28.99,28,2,5.14,AU,1714269171
332,salekhard,66.53,66.6019,-6.45,97,83,1.34,RU,1714268999
333,kapit,2.0167,112.9333,28.42,93,97,0.31,MY,1714269171
334,sandnessjoen,66.0217,12.6316,-1.71,68,11,5.3,NO,1714269171
335,durban,-29.8579,31.0292,14.51,80,3,2.48,ZA,1714269171
336,kilindoni,-7.9139,39.6668,26.65,73,80,7.36,TZ,1714269171
337,asikkala,61.2167,25.5,3.87,93,99,2.9,FI,1714269171
338,remire-montjoly,4.9167,-52.2667,25.02,100,0,1.03,GF,1714269171
339,bazas,44.432,-0.2133,9.23,96,0,2.37,FR,1714269171
340,vilyuchinsk,52.9306,158.4028,5.15,99,100,2.32,RU,1714269171
341,port macquarie,-31.4333,152.9167,22.16,65,0,3.14,AU,1714269148
342,sola,-13.8833,167.55,28.54,78,25,5.92,VU,1714269171
343,minas de marcona,-15.2119,-75.1103,15.66,82,13,4.84,PE,1714269171
344,young,-32.6833,-57.6333,10.03,74,6,3.14,UY,1714269172
345,pitimbu,-7.4706,-34.8086,26.33,81,72,4.05,BR,1714269172
346,la punta,-33.1837,-66.3127,13.24,75,2,3.01,AR,1714269172
347,kayenta,36.7278,-110.2546,10.97,42,100,3.63,US,1714269172
348,kidal,18.4411,1.4078,30.13,19,0,5.24,ML,1714269172
349,igarape acu,-1.1289,-47.62,23.55,98,100,0.55,BR,1714269172
350,paphos,34.7667,32.4167,16.88,100,4,3.09,CY,1714269172
351,belabo,4.9333,13.3,22.51,83,58,1.05,CM,1714269172
352,aqadyr,48.2553,72.8483,6.01,42,0,6.37,KZ,1714269172
353,geraldton,-28.7667,114.6,23.23,33,84,7.72,AU,1714269172
354,yeppoon,-23.1333,150.7333,25.88,76,26,7.85,AU,1714269172
355,hays,30.0502,-98.0336,25.05,87,100,5.36,US,1714269172
356,maragogi,-9.0122,-35.2225,26.4,78,49,1.97,BR,1714269172
357,saudarkrokur,65.7461,-19.6394,2.77,82,100,1.58,IS,1714269172
358,brantford,43.1334,-80.2664,20.08,85,48,6.9,CA,1714269012
359,fale old settlement,-9.3852,-171.2468,29.81,75,19,5.55,TK,1714269172
360,kamalganj,27.2667,79.65,32.06,18,15,3.48,IN,1714269172
361,port lincoln,-34.7333,135.8667,21.29,36,76,7.06,AU,1714269172
362,gidam,18.9833,81.4,32.38,38,1,0.92,IN,1714269173
363,taoudenni,22.6783,-3.9836,26.7,35,100,7.64,ML,1714269173
